Ersterwähnung;Ort;Landkreis;GPS
704;Großmonta;Sömmerda;51.213014135033404, 11.292545644029113
704;Arnstadt;Ilm-Kreis;50.798675991743565, 10.971400349540067
704;Mühlberg;Gotha;50.86927773223871, 10.826146928481224
706;Tonndorf;Weimarer Land;50.88202689123464, 11.226847775888254
725;Ohrdruf;Gotha;50.82475479163669, 10.742109804758904
731;Freienbessingen;Kyffhäuserkreis;51.233392420930834, 10.775475489542751
736;Thamsbrück;Unstrut-Hainich-Kreis;51.14010379655854, 10.63607973494517
742;Erfurt;Erfurt;50.98487664306335, 11.023525046028205
744;Wundersleben;Sömmerda;51.154535619078935, 11.03759660653199
744;Straußfurt;Sömmerda;51.167950945564186, 10.99026497525889
744;Gerstungen;WAK;50.96065891798273, 10.088880040701836
750;Achelstädt (Witzleben);Ilm-Kreis;50.835960033164426, 11.12258760283785
758;Jüchsen;SM;50.47905854698735, 10.501602854022485
772;Großenehrich;Kyffhäuserkreis;51.24709390505027, 10.845480855181984
772;Schernberg (Sondershausen);Kyffhäuserkreis;51.32816013391134, 10.769219686773113
772;Görsbach;Nordhausen;51.461810927239554, 10.94073020614686
;;;
772;Tennstedt;Unstrut-Hainich-Kreis;51.15248098690745, 10.861955302703256
;;;
774;Nordheim;SM;49.10647929595412, 9.1194985001577
774;Tüngeda;WAK;51.0346264923001, 10.582782934364696
;;;
775;Zimmersupra;Gotha;50.98917131928185, 10.875736757174575
;;;
775;Mechterstädt;Gotha;50.94131430538436, 10.524881971659564
;;;
775;Apfelstädt;Gotha;50.8891822914476, 10.876880424764058
;;;
775;Gotha;Gotha;50.947688634553614, 10.706651772401552
;;;
775;Gräfentonna;Gotha;51.09156164878442, 10.732209458767901
775;Gierstädt;Gotha;51.04309324448465, 10.828608682169632
;;;
775;Göllingen;Kyffhäuserkreis;51.34389942671112, 11.01282997527468
775;Elxleben;Ilm-Kreis;51.04449969959169, 10.947183678292294
775;Creuzburg;WAK;51.05237260948435, 10.24839197403996
775;Salzungen;WAK;50.816912018033086, 10.245768220832517
775;Großmölsen;Sömmerda;51.02602901388816, 11.146591299548312
775;Kirchhasel;Saalfeld-Rudolstadt;50.72991438819262, 11.394917407352045
776;Westhausen;HBN;48.879588552464575, 10.18493868629643
;;;
776;Rudolstadt;Saalfeld-Rudolstadt;50.71767820479279, 11.327836265931944
777;Heldrungen;Kyffhäuserkreis;51.30120402984215, 11.223249006640367
778;Hochheim;Gotha;51.01705292013776, 10.66101936809415
778;Mittelsdorf;SM;50.607564236162155, 10.132099602782418
778;Sundremda (Rudolstadt);Saalfeld- Rudolstadt;50.74725113282782, 11.213172971848666
779;Hochheim;Erfurt;50.95685514665493, 10.998941548983003
779;Tröchtelborn;Gotha;50.990768860256445, 10.814881761424973
;;;
779;Großenlupnitz;WAK;50.995374223335176, 10.39714229898003
;;;
780;Niedersachswerfen;Nordhausen;51.55081891490134, 10.76466052486428
780;Herbsleben;Unstrut-Hainich-Kreis;51.11777219372178, 10.845692864159185
781;Roßdorf;SM;50.70329088172984, 10.22274295213684
;;;
783;Birx;SM;50.52986210571342, 10.047615590835644
783;Berkach;SM;50.43720752929505, 10.398041583996987
784;Sülzfeld;SM;50.52451434458615, 10.35755337682501
784;Milz;HBN;50.37877218114374, 10.537656413193877
784;Sülzdorf (Römhild);HBN;50.41054206375453, 10.489571340833853
785;Großvargula;Unstrut-Hainich-Kreis;51.11554245925312, 10.78438014224003
786;Buttstädt;Sömmerda;51.121222320296994, 11.419263946365101
;;;
786;Groß-/Kleinbrembach;Sömmerda;51.128027913512085, 11.279471690175699
;;;
786;Guthmannshausen;Sömmerda;51.13464129884953, 11.365626365499823
;;;
786;Griefstedt;Sömmerda;51.229808733631295, 11.133322918219454
;;;
786;Büchel;Sömmerda;51.248547340474715, 11.156896037226348
;;;
786;Großneuhausen;Sömmerda;51.15966641700856, 11.286321754583424
;;;
786;Kindelbrück;Sömmerda;51.26249104970728, 11.09321844444428
;;;
786;Riethgen;Sömmerda;51.23944990521673, 11.112752280711637
;;;
786;Schwerstedt;Sömmerda;51.15712378727647, 10.921290130172817
;;;
786;Gebesee;Sömmerda;51.11312866742574, 10.933881015205884
;;;
786;Ringleben;Sömmerda;51.10562819504323, 10.954879500767548
;;;
786;Kölleda;Sömmerda;51.1898281657466, 11.2533335619919
;;;
786;Friemar;Gotha;50.9777445417869, 10.788694349729731
786;Molschleben;Gotha;51.0047629036144, 10.775967957074004
786;Pferdingsleben;Gotha;50.97104951073124, 10.818830528824067
786;Großrettbach;Gotha;50.92436505901514, 10.862540352169525
786;Günthersleben;Gotha;50.900981494222144, 10.768573750269663
786;Wechmar;Gotha;50.89246156977108, 10.77358790529266
786;Leina;Gotha;50.90048593102301, 10.631446258470032
786;Friedrichswerth;Gotha;50.99440780816579, 10.539027937646791
786;Remstädt;Gotha;50.979051670619725, 10.689313719136935
786;Siebleben;Gotha;50.94224531036747, 10.745003009785231
786;Fahner (Großfahner);Gotha;51.05530255260566, 10.828936242429801
786;Sundhausen;Gotha;50.93080633864294, 10.679297948507376
786;Wölfis;Gotha;50.80906762327854, 10.774100059899254
786;Schwabhausen;Gotha;48.29934906486135, 11.34536113676493
786;Ermstedt;Erfurt;50.97071347303899, 10.879688014760442
786;Frienstedt;Erfurt;50.95675580753668, 10.916453951130396
786;Mittelhausen;Erfurt;51.043961691926484, 11.003960537458845
786;Artern;Kyffhäuserkreis;51.36724542563524, 11.292650058492212
;;;
786;Kachstedt (Artern);Kyffhäuserkreis;51.390837683037105, 11.259329924761605
;;;
786;Voigstedt (Artern);Kyffhäuserkreis;51.39197381460006, 11.319718410952198
;;;
786;Donndorf;Kyffhäuserkreis;51.293795222291806, 11.378518748265805
;;;
786;Wiehe;Kyffhäuserkreis;51.26618501589728, 11.410852452237366
;;;
786;Hechendorf;Kyffhäuserkreis;51.277287940203486, 11.396171042603465
;;;
786;Rockensußra;Kyffhäuserkreis;51.26821263157783, 10.701159208034008
;;;
786;Gehofen;Kyffhäuserkreis;51.32333808535238, 11.31998055412896
;;;
786;Oberbösa;Kyffhäuserkreis;51.289083172580746, 11.018174461412944
;;;
